stockSum,cashSum,totalSum,Date,Growth
0.0,3200000.0,3200000.0,2021-01-03,1.0
3091864.0,108136.0,3200000.0,2021-01-04,1.0
3012608.6,108136.0,3120744.6,2021-01-05,0.9752326875
3076650.9,108136.0,3184786.9,2021-01-06,0.99524590625
3155793.2,108136.0,3263929.2,2021-01-07,1.0199778750000001
3299871.1,108136.0,3408007.1,2021-01-08,1.0650022187500001
3253807.4,108136.0,3361943.4,2021-01-09,1.0506073125
3253807.4,108136.0,3361943.4,2021-01-10,1.0506073125
3289528.8,72414.6,3361943.4,2021-01-11,1.0506073125
3324228.0,72414.6,3396642.6,2021-01-12,1.0614508125
3398889.2,72414.6,3471303.8000000003,2021-01-13,1.0847824375000001
